%%                              Description                              %%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% The following datalist contains the time of maximum dynamic pressure
% for each jet along with its class.
% Quasi-parallel jet = Class 1
% Quasi-perpendicular jet = Class 2
% Boundary jet = Class 3
% Encapsulated jet = Class 5
%
%Savvas Raptis 
%KTH, Royal Institute of Technology, Sweden, Stockholm
%savvra@kth.se
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Time(UCT)	Class
2015-11-10T12:32:24	1
2015-11-10T13:08:28	1
2015-11-11T04:41:35	1
2015-11-11T04:46:36	1
2015-11-11T04:52:23	1
2015-11-11T08:51:29	1
2015-11-11T09:49:14	1
2015-11-11T09:55:59	1
2015-11-11T10:09:38	1
2015-11-11T10:12:56	1
2015-11-11T11:42:15	1
2015-11-11T11:45:20	1
2015-11-11T13:00:20	1
2015-11-13T05:32:04	1
2015-11-15T05:40:06	1
2015-11-16T14:33:30	1
2015-11-16T14:37:51	1
2015-11-17T13:44:30	1
2015-11-19T02:23:32	1
2015-11-19T02:29:59	1
2015-11-19T02:32:50	1
2015-11-19T07:14:06	1
2015-11-19T09:05:06	1
2015-11-19T11:50:29	1
2015-11-19T12:49:39	1
2015-11-21T07:53:00	1
2015-11-21T07:55:11	1
2015-11-21T07:58:02	1
2015-11-21T08:06:03	1
2015-11-24T08:20:43	1
2015-11-27T06:45:11	1
2015-11-27T06:56:08	1
2015-11-27T06:57:47	1
2015-11-27T07:00:38	1
2015-11-27T07:34:55	1
2015-11-27T07:43:59	1
2015-11-27T12:07:41	1
2015-11-29T23:57:35	1
2015-11-30T00:03:53	1
2015-11-30T00:05:23	1
2015-11-30T00:06:31	1
2015-11-30T00:09:58	1
2015-11-30T00:18:35	1
2015-11-30T00:23:23	1
2015-11-30T00:42:35	1
2015-11-30T00:46:02	1
2015-11-30T00:47:41	1
2015-11-30T00:48:58	1
2015-11-30T00:52:25	1
2015-11-30T01:43:20	1
2015-11-30T01:44:46	1
2015-11-30T01:47:59	1
2015-11-30T01:51:53	1
2015-11-30T01:53:59	1
2015-11-30T02:05:23	1
2015-11-30T02:25:02	1
2015-11-30T02:31:52	1
2015-11-30T11:12:53	1
2015-11-30T11:14:28	1
2015-11-30T11:22:56	1
2015-11-30T12:29:24	1
2015-12-02T02:21:54	1
2015-12-02T02:26:56	1
2015-12-06T04:16:45	1
2015-12-06T04:18:19	1
2015-12-06T08:39:01	1
2015-12-06T08:43:27	1
2015-12-06T08:45:55	1
2015-12-06T09:22:40	1
2015-12-07T00:02:10	1
2015-12-07T03:15:13	1
2015-12-07T03:19:03	1
2015-12-07T03:47:28	1
2015-12-07T03:53:06	1
2015-12-07T03:59:10	1
2015-12-07T04:08:33	1
2015-12-07T04:37:21	1
2015-12-07T04:47:10	1
2015-12-07T10:22:48	1
2015-12-07T10:33:22	1
2015-12-07T10:39:36	1
2015-12-08T03:28:14	1
2015-12-08T04:00:38	1
2015-12-08T04:09:20	1
2015-12-08T04:28:55	1
2015-12-08T04:32:40	1
2015-12-08T04:49:28	1
2015-12-08T04:50:58	1
2015-12-08T05:31:14	1
2015-12-08T05:54:34	1
2015-12-08T06:57:52	1
2015-12-08T07:06:56	1
2015-12-08T07:09:02	1
2015-12-08T08:14:49	1
2015-12-08T08:25:59	1
2015-12-08T09:00:34	1
2015-12-10T10:06:53	1
2015-12-10T10:12:26	1
2015-12-10T10:21:35	1
2015-12-11T02:03:19	1
2015-12-11T02:11:25	1
2015-12-11T02:15:24	1
2015-12-11T02:19:54	1
2015-12-11T02:23:39	1
2015-12-11T02:30:06	1
2015-12-11T03:21:46	1
2015-12-11T08:04:13	1
2015-12-11T09:37:54	1
2015-12-11T09:43:54	1
2015-12-11T10:25:45	1
2015-12-11T10:28:31	1
2015-12-11T10:34:27	1
2015-12-11T10:42:01	1
2015-12-11T10:44:25	1
2015-12-11T10:58:45	1
2015-12-12T01:57:53	1
2015-12-12T02:01:29	1
2015-12-12T02:35:19	1
2015-12-12T02:41:46	1
2015-12-12T03:11:01	1
2015-12-12T03:12:40	1
2015-12-12T03:47:23	1
2015-12-12T03:49:38	1
2015-12-12T03:52:56	1
2015-12-12T04:05:05	1
2015-12-12T04:12:40	1
2015-12-12T04:15:31	1
2015-12-12T05:14:05	1
2015-12-12T06:32:32	1
2015-12-12T06:34:34	1
2015-12-12T08:35:41	1
2015-12-12T08:52:02	1
2015-12-12T08:54:08	1
2015-12-13T01:12:09	1
2015-12-13T03:28:57	1
2015-12-13T03:54:04	1
2015-12-13T03:56:15	1
2015-12-13T08:19:25	1
2015-12-13T08:40:34	1
2015-12-13T09:02:28	1
2015-12-13T09:06:45	1
2015-12-13T09:08:28	1
2015-12-14T23:56:56	1
2015-12-15T00:08:24	1
2015-12-15T00:11:02	1
2015-12-15T00:15:05	1
2015-12-15T00:44:20	1
2015-12-15T00:50:42	1
2015-12-15T01:07:17	1
2015-12-15T01:13:08	1
2015-12-15T01:16:12	1
2015-12-15T01:18:23	1
2015-12-15T01:20:29	1
2015-12-15T01:22:26	1
2015-12-15T01:27:18	1
2015-12-15T01:29:15	1
2015-12-15T01:32:42	1
2015-12-15T01:34:17	1
2015-12-15T02:05:29	1
2015-12-15T02:06:54	1
2015-12-15T02:40:12	1
2015-12-15T05:29:56	1
2015-12-15T05:33:41	1
2015-12-15T05:39:59	1
2015-12-15T05:41:56	1
2015-12-15T05:44:47	1
2015-12-15T05:51:54	1
2015-12-15T05:54:18	1
2015-12-15T06:40:39	1
2015-12-15T06:54:45	1
2015-12-15T06:56:42	1
2015-12-15T07:11:38	1
2015-12-15T07:23:38	1
2015-12-17T03:22:07	1
2015-12-17T03:43:03	1
2015-12-17T03:45:04	1
2015-12-19T03:25:10	1
2015-12-19T03:27:34	1
2015-12-19T03:52:01	1
2015-12-21T23:20:03	1
2015-12-21T23:51:33	1
2015-12-22T11:12:20	1
2015-12-22T11:13:36	1
2015-12-23T01:39:21	1
2015-12-23T04:25:33	1
2015-12-24T04:17:56	1
2015-12-24T04:43:39	1
2015-12-24T06:18:37	1
2015-12-24T06:31:08	1
2015-12-24T06:32:16	1
2015-12-24T08:03:01	1
2015-12-24T08:04:22	1
2015-12-24T08:05:25	1
2015-12-24T08:07:31	1
2015-12-25T02:23:47	1
2015-12-25T02:49:35	1
2015-12-25T02:52:48	1
2015-12-25T03:12:27	1
2015-12-25T03:34:57	1
2015-12-25T03:38:15	1
2015-12-25T03:54:18	1
2015-12-25T03:59:02	1
2015-12-25T04:06:59	1
2015-12-25T04:08:47	1
2015-12-25T04:11:51	1
2015-12-25T04:12:54	1
2015-12-25T04:18:59	1
2015-12-25T04:21:14	1
2015-12-25T04:23:20	1
2015-12-25T04:29:51	1
2015-12-25T04:58:53	1
2015-12-25T05:10:35	1
2015-12-25T05:58:08	1
2015-12-25T06:04:39	1
2015-12-25T06:30:00	1
2015-12-25T06:56:42	1
2015-12-25T07:11:38	1
2015-12-25T08:35:06	1
2015-12-25T09:15:45	1
2015-12-25T09:18:59	1
2015-12-25T09:28:26	1
2015-12-26T03:35:01	1
2015-12-26T04:04:07	1
2015-12-26T04:06:35	1
2015-12-26T04:12:13	1
2015-12-26T04:13:16	1
2015-12-26T04:18:13	1
2015-12-26T04:23:24	1
2015-12-26T04:25:12	1
2015-12-26T04:27:18	1
2015-12-26T05:20:19	1
2015-12-26T05:23:19	1
2015-12-26T05:50:15	1
2015-12-26T05:51:31	1
2015-12-26T06:19:16	1
2015-12-26T06:27:00	1
2015-12-26T07:26:28	1
2015-12-26T08:30:36	1
2015-12-26T08:38:24	1
2015-12-26T08:48:31	1
2015-12-26T08:57:31	1
2015-12-26T22:19:22	1
2015-12-27T00:37:40	1
2015-12-27T00:43:45	1
2015-12-27T01:45:28	1
2015-12-27T04:27:06	1
2015-12-27T06:11:12	1
2015-12-27T06:14:43	1
2015-12-27T06:19:49	1
2015-12-27T06:24:51	1
2015-12-27T06:27:01	1
2015-12-27T06:29:39	1
2015-12-27T06:34:45	1
2015-12-27T06:39:24	1
2015-12-27T07:52:54	1
2015-12-27T08:10:18	1
2015-12-27T08:18:19	1
2015-12-27T08:23:25	1
2015-12-27T08:28:27	1
2015-12-27T09:30:24	1
2015-12-27T09:34:49	1
2015-12-27T09:38:34	1
2015-12-28T01:52:42	1
2015-12-28T05:44:58	1
2015-12-28T05:48:52	1
2015-12-28T07:13:06	1
2015-12-28T07:23:27	1
2015-12-28T07:32:31	1
2015-12-28T08:12:39	1
2015-12-28T10:08:31	1
2015-12-28T10:13:37	1
2015-12-28T10:30:07	1
2015-12-29T00:14:14	1
2015-12-29T00:22:11	1
2015-12-29T01:16:33	1
2015-12-29T01:23:00	1
2015-12-29T01:27:03	1
2015-12-29T01:38:14	1
2015-12-29T01:49:06	1
2015-12-29T02:07:15	1
2015-12-29T02:09:39	1
2015-12-29T02:33:35	1
2015-12-29T02:43:51	1
2015-12-29T02:50:09	1
2015-12-29T02:52:06	1
2015-12-29T03:02:59	1
2015-12-29T03:11:45	1
2015-12-29T03:23:23	1
2015-12-29T03:25:38	1
2015-12-29T03:33:30	1
2015-12-29T03:39:26	1
2015-12-29T03:48:12	1
2015-12-29T03:50:05	1
2015-12-29T03:54:03	1
2015-12-29T04:01:06	1
2015-12-29T04:24:21	1
2015-12-29T04:39:35	1
2015-12-29T04:49:20	1
2015-12-29T04:50:41	1
2015-12-29T04:54:21	1
2015-12-29T05:09:12	1
2015-12-29T08:39:53	1
2015-12-30T01:44:13	1
2015-12-30T08:09:25	1
2015-12-31T21:31:44	1
2015-12-31T21:35:38	1
2016-01-02T01:13:45	1
2016-01-02T05:50:17	1
2016-01-02T05:52:36	1
2016-01-02T05:56:57	1
2016-01-02T06:37:32	1
2016-01-02T06:38:57	1
2016-01-02T06:41:12	1
2016-01-03T00:53:23	1
2016-01-03T01:05:32	1
2016-01-03T01:11:50	1
2016-01-03T01:14:05	1
2016-01-03T01:15:22	1
2016-01-03T01:39:26	1
2016-01-03T01:48:08	1
2016-01-03T02:00:53	1
2016-01-03T02:05:32	1
2016-01-03T02:19:52	1
2016-01-03T02:23:32	1
2016-01-03T02:25:11	1
2016-01-03T02:34:02	1
2016-01-03T02:40:47	1
2016-01-03T02:47:37	1
2016-01-03T03:09:31	1
2016-01-03T03:13:52	1
2016-01-03T03:26:37	1
2016-01-03T03:31:07	1
2016-01-03T03:32:28	1
2016-01-03T03:34:25	1
2016-01-03T03:36:04	1
2016-01-03T03:48:40	1
2016-01-03T04:03:13	1
2016-01-03T04:05:14	1
2016-01-03T04:15:49	1
2016-01-03T04:19:29	1
2016-01-03T05:34:47	1
2016-01-03T05:42:58	1
2016-01-03T05:44:05	1
2016-01-03T05:46:43	1
2016-01-03T06:01:25	1
2016-01-03T06:05:55	1
2016-01-03T06:54:58	1
2016-01-03T07:00:08	1
2016-01-04T02:42:47	1
2016-01-04T03:31:55	1
2016-01-04T03:39:52	1
2016-01-04T03:44:35	1
2016-01-04T03:56:40	1
2016-01-04T05:56:08	1
2016-01-04T07:34:42	1
2016-01-05T00:03:06	1
2016-01-05T00:19:59	1
2016-01-05T00:35:53	1
2016-01-05T00:40:36	1
2016-01-05T00:42:15	1
2016-01-05T00:47:30	1
2016-01-05T01:55:14	1
2016-01-05T01:58:09	1
2016-01-05T02:02:12	1
2016-01-05T02:05:44	1
2016-01-05T02:08:39	1
2016-01-05T02:16:23	1
2016-01-05T02:26:26	1
2016-01-05T02:31:18	1
2016-01-05T02:40:36	1
2016-01-06T04:15:48	1
2016-01-06T05:18:21	1
2016-01-06T05:37:33	1
2016-01-06T05:40:42	1
2016-01-06T05:45:52	1
2016-01-06T05:49:24	1
2016-01-06T05:56:00	1
2016-01-06T06:20:22	1
2016-01-06T06:48:25	1
2016-01-06T07:38:45	1
2016-01-06T07:40:42	1
2016-01-06T08:19:28	1
2016-01-06T08:20:40	1
2016-01-06T08:34:06	1
2016-01-06T08:37:10	1
2016-01-06T21:54:55	1
2016-01-06T22:52:04	1
2016-01-06T22:56:30	1
2016-01-06T22:57:46	1
2016-01-06T23:27:06	1
2016-01-07T03:08:34	1
2016-01-07T03:13:27	1
2016-01-07T03:23:30	1
2016-01-07T03:55:22	1
2016-01-07T04:30:37	1
2016-01-07T05:13:40	1
2016-01-07T05:28:58	1
2016-01-07T06:00:10	1
2016-01-07T06:30:01	1
2016-01-07T07:00:55	1
2016-01-07T07:11:39	1
2016-01-08T00:22:57	1
2016-01-10T00:53:43	1
2016-01-10T01:01:36	1
2016-01-10T01:10:27	1
2016-01-10T01:13:54	1
2016-01-10T02:00:24	1
2016-01-10T02:01:31	1
2016-01-11T00:42:57	1
2016-01-11T02:21:16	1
2016-01-11T02:24:57	1
2016-01-11T02:30:57	1
2016-01-11T02:32:18	1
2016-01-11T02:37:28	1
2016-01-11T02:56:13	1
2016-01-11T02:58:42	1
2016-01-11T03:02:45	1
2016-01-11T03:07:55	1
2016-01-11T03:09:34	1
2016-01-11T03:11:04	1
2016-01-11T04:15:21	1
2016-01-11T04:28:01	1
2016-01-11T04:35:13	1
2016-01-11T04:36:43	1
2016-01-11T04:38:49	1
2016-01-11T04:40:24	1
2016-01-11T04:45:57	1
2016-01-11T05:01:28	1
2016-01-13T02:05:47	1
2016-01-20T22:30:19	1
2016-01-23T02:50:10	1
2016-01-23T23:29:27	1
2016-01-25T00:05:00	1
2016-01-26T03:30:03	1
2016-01-26T03:42:21	1
2016-01-26T03:44:54	1
2016-01-26T04:25:51	1
2016-01-27T00:16:11	1
2016-01-27T00:20:28	1
2016-01-27T01:04:52	1
2016-01-27T01:56:46	1
2016-01-27T01:59:37	1
2016-01-27T02:00:58	1
2016-01-27T02:07:25	1
2016-01-27T02:16:02	1
2016-01-27T02:19:25	1
2016-01-27T02:30:58	1
2016-01-27T02:51:04	1
2016-01-27T03:25:38	1
2016-01-27T03:32:28	1
2016-01-31T06:29:53	1
2016-02-16T01:26:06	1
2016-02-16T04:41:15	1
2016-02-17T18:48:29	1
2016-02-17T21:49:09	1
2016-02-17T21:50:12	1
2016-02-17T23:49:55	1
2016-09-26T15:26:57	1
2016-12-10T07:42:49	1
2016-12-11T06:45:03	1
2016-12-11T06:47:36	1
2016-12-11T08:33:53	1
2016-12-11T09:38:23	1
2016-12-11T12:24:03	1
2016-12-11T15:31:02	1
2016-12-11T15:35:05	1
2016-12-12T07:34:44	1
2016-12-12T07:52:57	1
2016-12-12T07:55:12	1
2016-12-12T07:58:39	1
2016-12-12T08:09:09	1
2016-12-12T08:10:44	1
2016-12-12T08:18:32	1
2016-12-12T08:45:23	1
2016-12-12T08:50:24	1
2016-12-12T08:55:39	1
2016-12-12T09:06:41	1
2016-12-12T09:09:23	1
2016-12-12T09:20:33	1
2016-12-12T09:22:21	1
2016-12-12T09:25:44	1
2016-12-12T09:49:30	1
2016-12-12T10:00:50	1
2016-12-12T10:22:48	1
2016-12-12T11:15:45	1
2016-12-12T11:18:14	1
2016-12-12T11:32:33	1
2016-12-12T11:58:30	1
2016-12-12T12:06:09	1
2016-12-12T12:08:20	1
2016-12-12T12:33:55	1
2016-12-14T10:43:42	1
2016-12-14T11:29:58	1
2016-12-15T10:38:19	1
2016-12-15T10:39:36	1
2016-12-18T07:10:04	1
2016-12-18T07:12:50	1
2016-12-18T07:59:07	1
2016-12-18T08:02:07	1
2016-12-18T08:04:53	1
2016-12-18T08:12:01	1
2016-12-18T08:18:50	1
2016-12-18T08:27:14	1
2016-12-18T09:31:31	1
2016-12-18T10:21:55	1
2016-12-18T11:00:42	1
2016-12-18T11:08:16	1
2016-12-22T08:36:55	1
2016-12-22T12:42:01	1
2016-12-22T12:44:38	1
2016-12-22T13:07:04	1
2016-12-22T13:15:46	1
2016-12-22T13:21:46	1
2016-12-23T05:19:25	1
2016-12-23T05:25:12	1
2016-12-23T05:30:49	1
2016-12-24T05:55:42	1
2016-12-24T08:26:45	1
2016-12-24T08:53:27	1
2016-12-24T08:55:55	1
2016-12-24T09:55:11	1
2016-12-25T04:30:45	1
2016-12-25T05:02:11	1
2016-12-25T05:55:26	1
2016-12-25T07:11:47	1
2016-12-25T07:14:06	1
2016-12-26T07:07:45	1
2016-12-26T13:07:40	1
2016-12-27T09:42:04	1
2016-12-27T10:22:02	1
2016-12-27T10:24:17	1
2016-12-27T13:03:08	1
2016-12-31T04:57:07	1
2016-12-31T05:07:41	1
2016-12-31T05:09:34	1
2016-12-31T05:14:40	1
2016-12-31T05:16:23	1
2016-12-31T05:31:24	1
2016-12-31T05:38:40	1
2016-12-31T05:40:37	1
2016-12-31T05:42:52	1
2016-12-31T05:49:06	1
2017-01-01T02:48:08	1
2017-01-01T02:54:21	1
2017-01-01T03:02:45	1
2017-01-01T03:16:06	1
2017-01-01T03:17:59	1
2017-01-01T10:39:39	1
2017-01-01T12:57:44	1
2017-01-03T05:00:45	1
2017-01-03T05:04:57	1
2017-01-03T05:07:16	1
2017-01-03T05:16:39	1
2017-01-04T07:25:25	1
2017-01-04T09:46:43	1
2017-01-04T10:27:04	1
2017-01-05T01:30:03	1
2017-01-05T03:02:13	1
2017-01-05T03:14:09	1
2017-01-05T03:22:55	1
2017-01-05T03:36:43	1
2017-01-05T04:15:57	1
2017-01-05T06:35:14	1
2017-01-05T06:44:05	1
2017-01-05T07:06:12	1
2017-01-05T07:38:27	1
2017-01-05T11:33:39	1
2017-01-05T14:19:06	1
2017-01-06T12:10:21	1
2017-01-10T05:27:47	1
2017-01-10T05:32:35	1
2017-01-10T05:38:53	1
2017-01-10T05:40:05	1
2017-01-10T05:43:05	1
2017-01-10T05:49:46	1
2017-01-10T08:38:31	1
2017-01-10T10:16:55	1
2017-01-10T10:28:28	1
2017-01-10T10:32:04	1
2017-01-11T04:05:33	1
2017-01-11T04:24:27	1
2017-01-11T04:48:59	1
2017-01-11T05:21:18	1
2017-01-11T06:07:21	1
2017-01-11T06:11:33	1
2017-01-11T06:28:03	1
2017-01-11T06:30:09	1
2017-01-11T06:37:44	1
2017-01-11T06:47:02	1
2017-01-11T06:51:54	1
2017-01-11T06:53:38	1
2017-01-13T04:13:08	1
2017-01-13T04:37:12	1
2017-01-14T06:19:03	1
2017-01-14T07:05:24	1
2017-01-14T07:08:24	1
2017-01-14T07:10:12	1
2017-01-15T04:36:10	1
2017-01-15T05:56:47	1
2017-01-15T06:11:47	1
2017-01-15T06:16:26	1
2017-01-15T06:18:50	1
2017-01-15T06:21:23	1
2017-01-16T03:49:19	1
2017-01-17T06:05:14	1
2017-01-17T06:10:29	1
2017-01-17T06:21:53	1
2017-01-17T07:45:44	1
2017-01-17T07:48:08	1
2017-01-17T07:53:01	1
2017-01-17T07:54:40	1
2017-01-18T01:10:47	1
2017-01-18T01:45:31	1
2017-01-18T01:48:58	1
2017-01-18T01:57:08	1
2017-01-19T00:30:50	1
2017-01-19T01:32:47	1
2017-01-19T03:17:11	1
2017-01-19T04:49:21	1
2017-01-19T04:56:56	1
2017-01-19T05:15:14	1
2017-01-19T05:20:25	1
2017-01-19T05:23:20	1
2017-01-19T05:25:49	1
2017-01-19T05:32:34	1
2017-01-19T05:36:14	1
2017-01-19T05:44:47	1
2017-01-19T05:48:32	1
2017-01-19T05:49:44	1
2017-01-19T06:15:50	1
2017-01-19T06:18:50	1
2017-01-19T07:29:16	1
2017-01-19T09:59:43	1
2017-01-19T10:01:08	1
2017-01-19T10:09:01	1
2017-01-20T02:56:58	1
2017-01-20T03:27:43	1
2017-01-20T03:30:34	1
2017-01-20T05:25:51	1
2017-01-20T05:27:25	1
2017-01-20T05:30:48	1
2017-01-20T05:40:55	1
2017-01-20T05:45:48	1
2017-01-20T05:51:12	1
2017-01-20T05:53:09	1
2017-01-20T06:07:10	1
2017-01-20T06:17:00	1
2017-01-20T06:28:51	1
2017-01-20T06:32:00	1
2017-01-20T07:12:07	1
2017-01-20T07:14:58	1
2017-01-20T07:20:49	1
2017-01-20T07:22:06	1
2017-01-20T07:30:07	1
2017-01-20T08:44:45	1
2017-01-20T08:47:22	1
2017-01-20T08:49:20	1
2017-01-21T09:18:29	1
2017-01-21T09:20:26	1
2017-01-26T10:07:30	1
2017-01-27T01:10:09	1
2017-01-27T02:06:51	1
2017-01-27T02:12:51	1
2017-01-27T02:16:59	1
2017-01-27T02:19:41	1
2017-01-27T08:26:17	1
2017-01-27T08:46:05	1
2017-01-27T08:49:32	1
2017-01-27T08:56:39	1
2017-01-27T09:24:06	1
2017-01-27T09:28:23	1
2017-01-27T09:31:54	1
2017-01-28T05:34:30	1
2017-01-28T07:10:08	1
2017-01-28T09:06:18	1
2017-01-28T09:10:53	1
2017-01-28T09:21:32	1
2017-01-28T09:28:12	1
2017-01-28T09:31:35	1
2017-01-28T09:46:44	1
2017-01-28T09:54:23	1
2017-01-29T04:57:57	1
2017-01-30T04:20:44	1
2017-01-30T04:48:42	1
2017-01-30T05:25:27	1
2017-01-30T06:08:57	1
2017-01-31T01:43:36	1
2017-01-31T11:29:31	1
2017-01-31T11:39:56	1
2017-01-31T11:42:02	1
2017-02-05T06:45:49	1
2017-02-05T07:00:53	1
2017-02-05T07:10:47	1
2017-02-05T07:13:02	1
2017-02-05T08:14:37	1
2017-02-06T04:32:21	1
2017-02-06T05:27:28	1
2017-02-06T05:55:00	1
2017-02-09T03:44:19	1
2017-02-09T03:58:07	1
2017-02-09T05:37:47	1
2017-02-09T06:15:08	1
2017-02-09T06:22:56	1
2017-02-09T07:43:43	1
2017-12-07T03:53:07	1
2017-12-07T04:33:19	1
2017-12-09T23:30:36	1
2017-12-09T23:36:18	1
2017-12-21T07:14:35	1
2017-12-21T07:23:26	1
2018-01-09T10:35:41	1
2018-01-24T03:56:06	1
2018-01-29T03:42:21	1
2018-01-29T03:43:42	1
2018-01-29T03:48:57	1
2018-01-29T04:20:58	1
2018-01-29T04:33:57	1
2018-01-29T04:36:03	1
2018-01-29T04:47:31	1
2018-02-04T08:50:10	1
2018-02-04T08:55:21	1
2018-02-04T09:00:04	1
2018-02-04T09:03:45	1
2018-02-17T22:11:41	1
2018-02-17T22:13:43	1
2018-02-17T22:37:02	1
2018-02-17T22:43:38	1
2018-02-17T22:46:38	1
2018-02-17T22:48:44	1
2018-02-20T16:49:51	1
2018-02-23T12:58:19	1
2018-02-23T13:02:22	1
2018-02-23T13:04:01	1
2018-02-23T13:22:01	1
2018-02-26T07:21:06	1
2018-03-15T04:50:08	1
2018-03-15T05:38:09	1
2018-03-18T01:59:51	1
2018-03-26T12:57:05	1
2018-11-24T08:13:44	1
2018-11-24T08:33:00	1
2018-12-05T12:42:59	1
2018-12-05T12:48:28	1
2018-12-05T13:28:49	1
2018-12-22T12:03:13	1
2018-12-22T12:09:54	1
2018-12-22T12:35:51	1
2019-01-05T11:58:59	1
2019-01-05T12:04:00	1
2019-01-05T12:15:56	1
2019-01-11T02:59:36	1
2019-01-11T03:27:17	1
2019-01-11T03:29:59	1
2019-01-11T03:32:05	1
2019-01-11T03:36:08	1
2019-01-11T03:42:39	1
2019-01-11T03:45:53	1
2019-01-11T03:47:50	1
2019-01-11T03:49:02	1
2019-01-13T22:19:06	1
2019-01-16T04:38:00	1
2019-01-18T23:37:27	1
2019-01-18T23:51:46	1
2019-01-18T23:53:25	1
2019-01-22T10:47:02	1
2019-01-22T10:50:25	1
2019-01-22T10:57:19	1
2019-01-22T11:07:08	1
2019-01-22T11:26:07	1
2019-01-22T11:28:26	1
2019-01-27T10:43:16	1
2019-01-27T10:51:35	1
2019-01-27T10:54:08	1
2019-01-27T10:57:17	1
2019-01-27T11:07:02	1
2019-01-27T11:14:01	1
2019-01-27T11:32:14	1
2019-01-27T11:35:01	1
2019-02-02T15:11:52	1
2019-02-02T15:22:40	1
2019-02-02T15:25:13	1
2019-02-05T06:09:38	1
2019-02-05T06:12:15	1
2019-02-05T06:19:05	1
2019-03-02T02:09:02	1
2019-03-02T02:12:02	1
2019-03-05T01:33:29	1
2019-03-05T01:36:34	1
2019-03-19T02:05:59	1
2019-03-19T02:08:37	1
2015-09-26T15:29:12	2
2015-10-24T12:12:22	2
2015-11-07T11:55:56	2
2015-11-07T12:11:27	2
2015-11-14T04:41:14	2
2015-11-14T04:53:59	2
2015-11-14T05:17:50	2
2015-11-14T05:20:00	2
2015-11-14T05:30:57	2
2015-11-14T05:50:05	2
2015-11-14T06:27:39	2
2015-11-14T07:02:00	2
2015-11-14T11:13:56	2
2015-11-15T02:45:16	2
2015-11-15T04:09:30	2
2015-11-15T04:34:24	2
2015-11-15T04:41:00	2
2015-11-15T04:47:00	2
2015-11-16T04:04:42	2
2015-11-16T04:06:03	2
2015-11-16T04:10:37	2
2015-11-16T04:22:28	2
2015-11-16T04:49:10	2
2015-11-16T05:09:34	2
2015-11-16T05:38:40	2
2015-11-16T05:56:09	2
2015-11-16T05:57:21	2
2015-11-17T04:23:39	2
2015-11-17T04:35:53	2
2015-11-17T05:28:45	2
